1;'Profile';1
2;'C1 - General';2
3;'C1 - RDT';3
4;'C1 - Microscopy';4
5;'C2 - General';5
6;'C2 - RDT';6
7;'C2 - Microscopy';7
8;'C3 - General';8
9;'C3 - RDT';9
10;'C3 - Microscopy';10
11;'Adherence';11
12;'Feedback';12
13;'Environment & Materials';13
14;'Reporting';14
15;'IQA EQA';15
16;'Score';16
