1~262~5~1
2~263~5~2
3~11~4~3
4~268~7~3
5~12~4~4
6~270~7~4
7~13~4~5
8~271~7~5
9~14~4~6
10~272~7~6
11~15~4~7
12~273~7~7
13~16~4~8
14~274~7~8
15~17~4~9
16~275~7~9
17~262~28~10
18~262~28~11
19~262~28~12
20~11~31~13
21~268~34~13
22~12~31~14
23~270~34~14
24~13~31~15
25~271~34~15
26~14~31~16
27~272~34~16
28~15~31~17
29~273~34~17
30~16~31~18
31~274~34~18
32~17~31~19
33~275~34~19
34~262~28~20
35~262~28~21
36~262~50~22
37~263~56~23
38~262~28~24
39~262~28~25
40~263~59~26
41~262~55~27
42~262~55~28
43~262~59~29
44~262~55~30
45~11~58~31
46~268~60~31
47~12~58~32
48~270~60~32
49~13~58~33
50~271~60~33
51~14~58~34
52~272~60~34
53~15~58~35
54~273~60~35
55~16~58~36
56~274~60~36
57~17~58~37
58~275~60~37
59~262~59~38
60~262~55~39
61~262~59~40
62~262~55~41
63~262~59~42
64~262~55~43
65~262~59~44
66~262~55~45
67~262~59~46
68~262~59~47
69~262~59~48
70~262~59~49
71~262~59~50
72~262~59~51
73~262~59~52
74~262~59~53
75~262~59~54
76~262~59~55
77~262~59~56
78~262~59~57
79~262~85~58
80~262~85~59
81~262~85~60
82~262~85~61
83~262~85~62
84~262~90~63
85~263~90~64
86~263~91~65
87~262~92~66
88~262~98~67
89~262~85~68
90~262~85~69
91~262~85~70
92~262~95~71
93~262~97~72
94~262~85~73
95~262~85~74
96~262~101~75
97~262~101~76
98~262~101~77
99~262~101~78
100~262~101~79
101~262~101~80
102~262~101~81
103~262~101~82
104~262~101~83
105~262~101~84
106~262~112~85
107~262~112~86
108~262~112~87
109~262~112~88
110~262~112~89
111~262~112~90
112~262~112~91
113~262~112~92
114~262~112~93
115~262~112~94
116~262~112~95
117~262~112~96
118~262~112~97
119~262~112~98
120~262~112~99
121~262~128~100
122~262~128~101
123~262~128~102
124~262~128~103
125~262~128~104
126~262~128~105
127~262~128~106
128~262~128~107
129~262~128~108
130~262~128~109
131~262~128~110
132~262~128~111
133~262~128~112
134~262~128~113
135~262~128~114
136~262~128~115
137~262~128~116
138~262~128~117
139~262~128~118
140~262~128~119
141~262~128~120
142~262~128~121
143~262~128~122
144~262~128~123
145~262~128~124
146~262~128~125
147~262~128~126
148~262~128~127
149~262~128~128
150~262~128~129
151~262~128~130
152~262~160~131
153~262~160~132
154~262~160~133
155~262~160~134
156~262~160~135
157~262~160~136
158~262~160~137
159~262~160~138
160~262~160~139
161~262~160~140
162~262~160~141
163~262~160~142
164~262~160~143
165~262~160~144
166~262~160~145
167~262~160~146
168~262~160~147
169~262~160~148
170~262~179~149
171~262~179~150
172~262~179~151
173~262~179~152
174~262~179~153
175~262~179~154
176~262~179~155
177~262~179~156
178~262~179~157
179~262~179~158
180~262~179~159
181~262~179~160
182~262~179~161
183~262~179~162
184~262~179~163
185~262~179~164
186~262~179~165
187~262~179~166
188~262~179~167
189~262~179~168
190~262~179~169
191~262~179~170
192~262~179~171
193~262~179~172
194~262~179~173
195~262~179~174
196~262~179~175
197~262~179~176
198~262~179~177
199~262~209~178
200~262~209~179
201~262~209~180
202~262~209~181
203~262~209~182
204~262~209~183
205~262~209~184
206~262~209~185
207~262~209~186
208~262~209~187
209~262~209~188
210~262~209~189
211~262~209~190
212~262~209~191
213~262~209~192
214~262~209~193
215~262~209~194
216~262~209~195
217~262~209~196
218~262~209~197
219~262~209~198
220~262~209~199
221~262~209~200
222~262~209~201
223~262~209~202
224~262~209~203
225~262~209~204
226~262~209~205
227~262~209~206
