1~1~6~0
2~1~2~9
3~1~8~0
4~1~9~9
5~1~5~0
6~1~3~0
7~1~1~0
8~1~4~0
9~1~7~0
10~2~13~0
11~2~12~0
12~2~14~0
13~2~11~0
14~2~10~0
15~2~15~0
16~3~6~9
17~3~2~0
18~3~8~9
19~3~9~9
20~3~5~9
21~3~3~9
22~3~1~0
23~3~4~0
24~3~7~0
