1~2~1
2~3~1
3~4~1
4~5~1
5~6~1
6~7~1
7~7~1
8~8~1
9~9~1
10~9~1
11~10~1
12~11~1
13~12~1
14~13~1
15~14~1
16~15~1
17~16~1
18~18~1
19~19~1
20~20~1
21~21~1
22~22~1
23~23~1
24~24~1
25~25~1
26~26~1
27~27~1
28~29~1
29~30~1
30~31~1
31~32~1
32~33~1
33~34~1
34~35~1
35~36~1
36~37~1
37~38~1
38~39~1
39~40~1
40~41~1
41~42~1
42~43~1
43~45~1
44~46~1
45~47~1
46~48~1
47~49~1
48~50~1
49~51~1
50~52~1
51~53~1
52~54~1
53~55~1
54~56~1
55~57~1
56~58~1
57~59~1
58~60~1
59~61~1
60~62~1
61~63~1
62~64~1
63~65~1
64~66~1
65~67~1
66~68~1
67~69~1
68~70~1
69~71~1
70~72~1
71~73~1
72~74~1
73~75~1
74~77~1
75~78~1
76~79~1
77~80~1
78~81~1
79~82~1
80~83~1
81~84~1
82~85~1
83~86~1
84~87~1
85~88~1
86~89~1
87~90~1
88~91~1
89~92~1
90~93~1
91~94~1
92~96~1
93~97~1
94~98~1
95~99~1
96~100~1
97~101~1
98~102~1
99~103~1
100~104~1
101~105~1
102~106~1
103~107~1
104~108~1
105~109~1
106~110~1
107~111~1
108~112~1
109~113~1
110~114~1
111~115~1
112~116~1
113~117~1
114~118~1
115~119~1
116~120~1
117~121~1
118~122~1
119~123~1
120~124~1
121~126~1
122~127~1
123~128~1
124~129~1
125~130~1
126~131~1
127~132~1
128~133~1
129~134~1
130~135~1
131~136~1
132~137~1
133~138~1
134~139~1
135~140~1
136~141~1
137~142~1
138~143~1
139~144~1
140~145~1
141~146~1
142~147~1
143~148~1
144~149~1
145~150~1
146~151~1
147~152~1
148~153~1
149~154~1
150~232~1
151~233~1
152~234~1
153~235~1
154~236~1
155~237~1
156~238~1
157~239~1
158~240~1
159~241~1
160~242~1
161~243~1
162~244~1
163~245~1
164~246~1
165~247~1
166~248~1
167~249~1
168~250~1
169~251~1
170~252~1
171~253~1
172~254~1
173~255~1
174~256~1
175~257~1
176~258~1
177~259~1
178~260~1
179~261~1
180~262~1
181~390~1
182~390~1
183~392~0
184~413~1
185~416~1
186~419~1
187~419~0
188~422~1
189~425~1
190~426~1
191~426~1
192~428~1
193~431~1
194~438~1
195~440~1
196~442~1
197~443~1
198~444~1
199~444~0
200~445~1
201~446~1
202~447~1
203~448~1
204~449~1
205~450~1
206~451~1
207~452~1
208~453~1
209~455~1
210~456~1
211~457~1
212~458~1
213~459~1
214~460~1
215~461~1
216~462~1
217~463~1
218~464~1
219~465~1
220~490~0
