1~_Overall Class~_Overall Class~ggrkfoq6nxA~TEXT
2~ _Order_Forward~_FWR-sort~FEkGksxhOpH~INTEGER_ZERO_OR_POSITIVE
3~_Push Date~_UploadedOn~B6afQk2qZTL~TEXT
4~_Overall Class A~_Overall Class A~TgCWRlUXbca~BOOLEAN
5~_Next_assessment_date~_NextAssessmentDate~M93RYt47CMK~TEXT
6~  _Order_Reverse~_RWD-sort~deeu8rjsqvH~INTEGER_ZERO_OR_POSITIVE
7~_Overall Class B~_Overall Class B~zckZqXOQRHT~BOOLEAN
8~_Overall Class C~_Overall Class C~DBUwlPCO0Hd~BOOLEAN
9~ _Stats_created_on~_CreatedOn~rcAkFQFYknk~TEXT
10~ _Order_Last Survey~_Last?~iW2zVNwfDK6~BOOLEAN
11~_Push Device~_PushDevice~YVyeP6WQkDA~LONG_TEXT
12~_Push User~_UploadedBy~UzOOxp9OlSb~TEXT
13~_Overall Score~_Overall Score~Y8Nmpp7RhXw~NUMBER
14~_Overall Productivity~_OverallProductivity~vGphb9ZfLGg~INTEGER_ZERO_OR_POSITIVE
