1~wZDjdfQ1FUf~Red~Red~0.0~1~0
2~rjtElbwpnpt~Green~Green~0.0~1~0
3~p643HuDAV2M~Positif~Positif~0.0~2~0
4~EKpsIB9AkdT~Négatif~Négatif~0.0~2~0
5~bJ4798anrTw~3~03~0.0~3~0
6~JxwRuw6JIdx~1~01~0.0~3~0
7~Ea3WYnFLk0p~4~04~0.0~3~0
8~iMYfy0ac3OV~2~02~0.0~3~0
9~zxjS9vaL4HV~Posi~Positif~0.0~4~0
10~nIRSRxc8zeZ~Ind~Indéterminé~0.0~4~0
11~TS7FaBjjkUM~Neg~Négatif~0.0~4~0
12~g0IAfPB8gH9~35 - 44~35 - 44~0.0~5~0
13~iKdnfbyKwXZ~Inf 15~Inf 15~0.0~5~0
14~HZ4b9OFgo4t~25 - 34~25 - 34~0.0~5~0
15~uVF041n8MCl~16 - 24~16 - 24~0.0~5~0
16~Jc1zcMxqpJN~45 + plus~45 + plus~0.0~5~0
17~HJpysBxdZ3l~PM 02~PM Ferdinand Nana~0.0~7~0
18~br5dw1LvNIa~PM 01~PM Jules Yves Onanina~0.0~7~0
19~vbBcwFVpafA~2~NON~0.0~8~0
20~Wu5alTqUxT2~1~Oui~0.0~8~0
21~bX2yHCkzY6O~Outreach~Outreach~0.0~9~0
22~CkWHtlJT82Y~Fixed~Fixed~0.0~9~0
23~mqCRFcs30oQ~Free~Free~0.0~10~0
24~pUd83TuR40p~Unknown~Unknown~0.0~10~0
25~O10OHp0CfyU~Paid~Paid~0.0~10~0
26~stReidbBrSK~Pagado~Pagado~0.0~11~0
27~plTpWzLeHLL~Desconocido~Desconocido~0.0~11~0
28~cXwkVmNGQ7M~Gratuito~Gratuito~0.0~11~0
29~DEuxoQU2I7v~Informal/temporary employment~Informal/temporary employment~0.0~12~0
30~ob0YjAQrBPF~Self-employed~Self-employed~0.0~12~0
31~Y2K9gEBO5B7~Formal/full-time employment~Formal/full-time employment~0.0~12~0
32~Y1wbNZrmk7X~Unemployed~Unemployed~0.0~12~0
33~PCIO0StgkVE~Student~Student~0.0~12~0
34~CZtCJNwusmS~T~T~0.0~13~0
35~B6Kj6p6v7LV~F~F~0.0~13~0
36~U8agyAKYtuv~M~M~0.0~13~0
37~vngtqGGqiDp~Negative~Negative~0.0~14~0
38~ePlTUOEmUwh~Indeterminate~Indeterminate~0.0~14~0
39~jjNNjpVsx9C~Positive~Positive~0.0~14~0
40~LV0CIY9R6Ky~Married~Married~0.0~15~0
41~KwTmPQko5JU~Cohabiting/Not married~Cohabiting/Not married~0.0~15~0
42~rt5Y6vde8SI~Separated/Divorced~Separated/Divorced~0.0~15~0
43~fdYxe31BWXh~Widowed~Widowed~0.0~15~0
44~hc6QsDZjUZC~Never Married~Never Married~0.0~15~0
45~WmEl1gVs14c~2~2 - Intérêt~0.0~16~0
46~mvnc6XLwf5O~5~5 - Plaidoyer~0.0~16~0
47~SZTXzKSecsO~3~3 - Essai~0.0~16~0
48~oxQJMvRaBId~1~1 - Connaissance/Conscience~0.0~16~0
49~BVWjngDzOaG~4~4 - Adoption~0.0~16~0
50~bHLv93ZeoEu~2017-03~2017-03~0.0~17~0
51~GoAMvZclFfT~2016-10~2016-10~0.0~17~0
52~wgnXn0xHTKK~2015-05~2015-05~0.0~17~0
53~r2Aq62LVO8J~2017-08~2017-08~0.0~17~0
54~v5o2A5MWqHx~2014-07~2014-07~0.0~17~0
55~uUCvWWJo2QQ~2016-12~2016-12~0.0~17~0
56~QGn6lrZ3uu9~2017-09~2017-09~0.0~17~0
57~vVKDowUIBuH~2017-04~2017-04~0.0~17~0
58~bXTeWvujBwd~2014-08~2014-08~0.0~17~0
59~jOcVxtTEy5V~2015-10~2015-10~0.0~17~0
60~kEyAPikW3nd~2015-08~2015-08~0.0~17~0
61~n79NGatRANi~2016-11~2016-11~0.0~17~0
62~okRdQBfbMFH~2017-05~2017-05~0.0~17~0
63~VBw0WBuABuP~2014-10~2014-10~0.0~17~0
64~oZ1XU26YOy2~2016-03~2016-03~0.0~17~0
65~PnqbGeXRciH~2015-11~2015-11~0.0~17~0
66~i9hnHU2SXko~2016-07~2016-07~0.0~17~0
67~cauVd6YGy11~2017-11~2017-11~0.0~17~0
68~A3OEzMQ90TS~2016-05~2016-05~0.0~17~0
69~WG8GiruNgoZ~2015-03~2015-03~0.0~17~0
70~doVxgCp2ccT~2016-09~2016-09~0.0~17~0
71~VfGJE1Ssriu~2015-09~2015-09~0.0~17~0
72~GAkdhVYhl4t~2015-12~2015-12~0.0~17~0
73~c0fc4Frpxt0~2017-01~2017-01~0.0~17~0
74~LfF8jzcstbw~2015-01~2015-01~0.0~17~0
75~vJywfvnmfjD~2014-11~2014-11~0.0~17~0
76~TRf4P8hqU6B~2015-06~2015-06~0.0~17~0
77~Up8YhPnff9w~2016-08~2016-08~0.0~17~0
78~C5htApgE8pr~2016-01~2016-01~0.0~17~0
79~e6n1fE8OHRY~2014-12~2014-12~0.0~17~0
80~sage5wYjZg2~2015-02~2015-02~0.0~17~0
81~ZNrBwHjsLCV~2017-06~2017-06~0.0~17~0
82~pwUilozLiTJ~2015-07~2015-07~0.0~17~0
83~TLBYUe0UKP1~2017-10~2017-10~0.0~17~0
84~DWWlCxfGxFr~2016-02~2016-02~0.0~17~0
85~P16dTjH8x6N~2015-04~2015-04~0.0~17~0
86~P3w3W1I2jvC~2016-06~2016-06~0.0~17~0
87~TxxCjFAcq1f~2017-02~2017-02~0.0~17~0
88~MIcHNLFlEKw~2016-04~2016-04~0.0~17~0
89~N5BRAXlAhOc~2017-12~2017-12~0.0~17~0
90~QF12Gc9h3vI~2014-09~2014-09~0.0~17~0
91~pqjrg13SPW6~2017-07~2017-07~0.0~17~0
92~d5btCjjI1rY~8~8~0.0~18~0
93~hPZGuJ57ori~7~7~0.0~18~0
94~qc6bbcfvMaI~9~9~0.0~18~0
95~S1DW16QTC9w~10~10~0.0~18~0
96~WHvPYVqNx5E~Positive~Positive~0.0~19~0
97~Alzi1xrf7IJ~Negative~Negative~0.0~19~0
98~k5nI1disznY~PSI~PSI~0.0~20~0
99~LRMxIvwOjND~Non PSI~Non PSI~0.0~20~0
100~dsr9smYmHJu~Female~Female~0.0~21~0
101~pflJcbYuV8r~Male~Male~0.0~21~0
102~f6MD9iqNF2s~2~Negatif~0.0~22~0
103~kZdOImLAMJm~1~Positif~0.0~22~0
104~SPfsm7AppmU~19:00~19:00~0.0~23~0
105~dsrmW8VujgM~15:00~15:00~0.0~23~0
106~QO2DvQJZQz0~12:00~12:00~0.0~23~0
107~sEJYaK02nlt~01:00~01:00~0.0~23~0
108~aflEzek9uLm~21:00~21:00~0.0~23~0
109~esaAltnxQdi~20:00~20:00~0.0~23~0
110~Cs1HMxgzHru~07:00~07:00~0.0~23~0
111~uy7bPJ9i0Iw~00:00~00:00~0.0~23~0
112~YERbbvsSj1j~09:00~09:00~0.0~23~0
113~fuWluv8fQRf~02:00~02:00~0.0~23~0
114~RRVM67oypoh~16:00~16:00~0.0~23~0
115~yK0FzciRpgk~22:00~22:00~0.0~23~0
116~CovumxASLlA~03:00~03:00~0.0~23~0
117~oOwU481nucN~06:00~06:00~0.0~23~0
118~W4dI49ErIUN~18:00~18:00~0.0~23~0
119~X68Kpw8CzDP~13:00~13:00~0.0~23~0
120~VhHvxVLqwhL~05:00~05:00~0.0~23~0
121~i2WAqpfrETZ~17:00~17:00~0.0~23~0
122~JLkUtL9yCsM~23:00~23:00~0.0~23~0
123~oBJiFlkelCl~11:00~11:00~0.0~23~0
124~hkUKTxstVUr~08:00~08:00~0.0~23~0
125~ejdyraMH6vH~14:00~14:00~0.0~23~0
126~dFFmZEwIvGt~10:00~10:00~0.0~23~0
127~HtPWXbhU1GE~04:00~04:00~0.0~23~0
128~e4L47wo4phj~21:30~21:30~0.0~24~0
129~n4X7KeL88Kk~18:00~18:00~0.0~24~0
130~KUmUQIdwGnK~12:00~12:00~0.0~24~0
131~TokTrKwyOCn~12:30~12:30~0.0~24~0
132~pYC6K7yxnPU~11:00~11:00~0.0~24~0
133~dc0wBcPq9X0~05:30~05:30~0.0~24~0
134~XD5qWaewLjI~23:00~23:00~0.0~24~0
135~lRxaMB47J42~19:30~19:30~0.0~24~0
