1;'ezSKfFgQetN';'1. TZ Test Region';;1
2;'AK4e6bFu09C';'Dar es Salaam';;1
3;'INI4Hp84Z0U';'Geita';;1
4;'CVKcM66aReQ';'Mara';;1
5;'CzTcBeVD3O0';'Morogoro';;1
6;'yuWzqHuFcpm';'Mwanza';;1
7;'CLDlSnkGuGn';'Pwani';;1
8;'c6iUbckKiPs';'Shinyanga';;1
9;'HAEog3LreVI';'Simiyu';;1
10;'u2htKshXsga';'TZ Outlet 1';1;2
11;'V19IzuLlNG7';'TZ Outlet 2';1;2
12;'T1wKbYW1gB0';'Ilala';2;2
13;'qHiXeoV1iQ9';'Kinondoni';2;2
14;'eHxmJ87TBfG';'Temeke';2;2
15;'a8u2w3EVwt7';'Bukombe';3;2
16;'Pdwqw5pqFpG';'Chato';3;2
17;'BVIGnjzxtqP';'Geita';3;2
18;'vYT0GC8RhCC';'Mbogwe';3;2
19;'tRFo1KkC1Xg';'Nyang''hwale';3;2
20;'zQmSVqhVJcy';'Bunda';4;2
21;'LEiu73Qijqq';'Butiama';4;2
22;'yxD0VxAfL8W';'Musoma';4;2
23;'Uu52hnze6Oe';'Rorya';4;2
24;'E61z6LAPvTH';'Serengeti';4;2
25;'K6NKLsFNsuP';'Tarime';4;2
26;'C1RNwCQ1Bhq';'Gairo';5;2
27;'N4JrkGXGkiT';'Kilombero';5;2
28;'bYkKR902RkY';'Kilosa';5;2
29;'CzTcBeVD3O0';'Morogoro';5;2
30;'iC5aU89NEJ5';'Mvomero';5;2
31;'kZZn2j4dYfh';'Not set';5;2
32;'kF5853dWRAW';'Ulanga';5;2
33;'vpT97XjeBX4';'Ilemela';6;2
34;'EIyfbjgqZmI';'Kwimba';6;2
35;'Mc9gRN4fOar';'Magu';6;2
36;'uYszHBw9e0f';'Misungwi';6;2
37;'Y9FnnozoqwI';'Nyamagana';6;2
38;'Rm5cHMZBqJo';'Sengerema';6;2
39;'RfhRFmHUozx';'Ukerewe';6;2
40;'h1vjX0Eey0n';'Bagamoyo';7;2
41;'rMB5fewkP7I';'Kibaha';7;2
42;'BBcz1c28tAy';'Kisarawe';7;2
43;'H9OkYuMJQDf';'Mafia';7;2
44;'TRbRVdrte7j';'Mkuranga';7;2
45;'KJw8e1thHMG';'Rufiji';7;2
46;'HKJZKx05t1Y';'Kahama';8;2
47;'Yhle4E5Osf2';'Kishapu';8;2
48;'c8BCqZzP2Kz';'Shinyanga';8;2
49;'rINkbNYQLLO';'Bariadi';9;2
50;'ztph7vH2MEJ';'Busega';9;2
51;'ctM0o5e6mex';'Itilima';9;2
52;'GIdcmMh1Sit';'Maswa';9;2
53;'amb069p15mg';'Meatu';9;2
